㘌 JU
㘍 JI
㘎 HAN
㘐 PAO
㘑 LI
㘓 LAN
㘔 CAN
㘕 HAN
㘖 YAN
㘙 YAN
㘚 HAN
㘜 CHI
㘝 NIAN
㘞 HUO
㘠 BI
㘡 XIA
㘢 WENG
㘣 XUAN
㘥 YOU
㘦 QIN
㘧 XU
㘨 NEI
㘩 BI
㘪 HAO
㘫 JING
㘬 AO
㘭 AO
㘲 JU
㘴 ZUO
㘵 BU
㘶 JIE
㘷 AI
㘸 ZANG
㘹 CI
㘺 FA
㘿 NIE
㙀 LIU
㙁 MANG
㙂 DUI
㙄 BI
㙅 BAO
㙇 CHU
㙈 HAN
㙉 TIAN
㙊 CHANG
㙏 FU
㙐 DUO
㙑 YU
㙒 YE
㙓 KUI
㙔 HAN
㙕 KUAI
㙗 KUAI
㙙 LONG
㙛 BU
㙜 CHI
㙝 XIE
㙞 NIE
㙟 LANG
㙠 YI
㙢 MAN
㙣 ZHANG
㙤 XIA
㙥 GUN
㙨 JI
㙩 LIAO
㙪 YE
㙫 JI
㙬 YIN
㙮 DA
㙯 YI
㙰 XIE
㙱 HAO
㙲 YONG
㙳 HAN
㙴 CHAN
㙵 TAI
㙶 TANG
㙷 ZHI
㙸 BAO
㙹 MENG
㙺 GUI
㙻 CHAN
㙼 LEI
㙾 XI
㚁 QIAO
㚂 RANG
㚃 YUN
㚅 LONG
㚆 FU
㚉 GU
㚌 HUA
㚍 GUO
㚏 GAO
㚐 TAO
㚒 SHAN
㚓 LAI
㚔 NIE
㚕 FU
㚖 GAO
㚗 QIE
㚘 BAN
㚛 XI
㚜 XU
㚝 KUI
㚞 MENG
㚟 CHUO
㚡 JI
㚢 NU
㚣 XIAO
㚤 YI
㚥 YU
㚦 YI
㚧 YAN
㚩 RAN
㚪 HAO
㚫 SHA
㚭 YOU
㚯 XIN
㚰 BI
㚲 DIAN
㚴 BU
㚶 SI
㚷 ER
㚹 MAO
㚺 YUN
㚽 QIAO
㚿 PAO
㛂 NUO
㛃 JIE
㛅 ER
㛆 DUO
㛊 DUO
㛍 QIE
㛏 OU
㛐 SOU
㛑 CAN
㛒 DOU
㛔 PENG
㛕 YI
㛗 ZUO
㛘 PO
㛙 QIE
㛚 TONG
㛛 XIN
㛜 YOU
㛝 BEI
㛞 LONG
㛥 TA
㛦 LAN
㛧 MAN
㛨 QIANG
㛩 ZHOU
㛪 YAN
㛬 LU
㛮 SAO
㛯 MIAN
㛱 RUI
㛲 FA
㛳 CHA
㛴 NAO
㛶 CHOU
㛸 SHU
㛹 PIAN
㛻 KUI
㛼 SHA
㛾 XIAN
㛿 ZHI
㜃 LIAN
㜄 XUN
㜅 XU
㜆 MI
㜇 HUI
㜈 MU
㜊 PANG
